"VCF0004","VCF0101","VCF0102","VCF0103","VCF0104","VCF0106A","VCF0110","VCF0111","VCF0112","VCF0113","VCF0114","VCF0115","VCF0116","VCF0118","VCF0127","VCF0128B","VCF0138","VCF0142","VCF0143","VCF0146","VCF0147","VCF0148","VCF0148A","VCF0149","VCF0150","VCF0151","VCF0152","VCF0154B","VCF0702","VCF0704","VCF0704A","VCF0705","VCF0706","VCF0707","VCF0708","VCF9001","VCF9002","VCF9009","VCF9013","VCF9014","VCF9015","VCF9016","VCF9017","VCF9018","VCF9026","VCF9027","VCF9028","VCF9029","VCF9030","VCF9030A","VCF9030B","VCF9030C","VCF9031","VCF9032","VCF9035","VCF9036","VCF9037","VCF9039","VCF9040","VCF9041","VCF9042","VCF9045","VCF9048","VCF9049","VCF9055"
1990,33,2,3,2,2,2,1,1,2,3,4,4,2,2,1,5,113,1,2,4,1,1,4,40,4,135,13,2,NA,NA,NA,NA,NA,NA,24,1,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,2,4,NA,NA,NA,NA,NA,3,3,1,85
1990,38,3,3,2,1,4,1,1,2,4,2,1,1,1,4,2,113,1,1,3,4,4,1,10,2,502,4,2,NA,NA,NA,NA,NA,NA,14,2,5,4,3,5,1,3,4,NA,1,NA,NA,4,2,2,2,1,NA,7,2,NA,1,4,2,5,5,2,3,81
1990,67,6,5,2,1,1,2,1,2,1,3,6,2,2,3,0,101,5,1,3,1,1,4,60,3,400,11,1,NA,NA,NA,NA,1,NA,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,3,3,1,81
1990,33,2,3,2,1,2,2,1,2,2,6,7,4,2,3,4,103,1,2,1,4,4,1,70,1,400,NA,1,NA,NA,NA,NA,1,1,9,1,5,1,3,1,3,2,1,NA,2,NA,NA,7,2,2,2,5,NA,4,8,NA,3,1,1,3,3,2,1,12
1990,48,4,3,2,1,3,2,2,2,1,1,1,1,2,0,0,171,1,1,3,4,4,1,10,1,270,2,1,NA,NA,NA,NA,1,1,20,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,7,2,NA,NA,NA,NA,NA,3,1,1,12
1990,83,7,6,2,1,NA,2,2,2,1,3,6,2,2,0,0,131,1,1,5,4,4,1,60,3,290,10,2,NA,NA,NA,NA,NA,NA,8,2,0,3,2,3,2,3,1,NA,NA,NA,NA,7,2,2,2,5,NA,7,2,NA,3,1,1,1,3,3,1,12
1990,71,6,5,2,1,1,3,2,2,NA,1,5,3,2,0,0,133,1,1,5,4,4,2,50,1,220,1,2,NA,NA,NA,NA,NA,NA,12,3,0,2,2,4,2,2,2,NA,2,NA,NA,7,2,2,2,5,NA,7,8,NA,3,2,3,3,3,3,2,21
1990,58,5,4,2,1,1,2,1,2,1,3,6,2,2,7,0,103,5,2,3,4,4,1,60,3,NA,11,2,NA,NA,NA,NA,NA,NA,10,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,1,8,NA,NA,NA,NA,NA,8,2,1,12
1990,40,3,3,1,1,2,2,1,2,1,3,6,2,2,1,1,103,1,2,1,1,1,4,60,3,10,7,2,NA,NA,NA,NA,NA,NA,0,3,5,1,2,4,3,1,2,NA,NA,NA,NA,7,2,2,2,5,NA,7,2,NA,2,2,5,4,1,3,1,12
1990,41,3,3,2,2,1,1,3,1,2,3,2,2,2,3,0,141,1,2,2,4,4,1,20,3,400,8,2,NA,NA,NA,NA,NA,NA,90,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,7,2,NA,NA,NA,NA,NA,5,2,1,12
1990,48,4,3,2,1,2,2,3,1,4,1,1,1,2,0,0,141,1,1,1,6,6,1,10,1,230,2,1,NA,NA,NA,NA,1,1,90,1,5,2,2,2,4,5,2,NA,1,NA,NA,7,2,2,2,5,NA,5,2,NA,5,4,3,4,1,2,1,12
1990,64,5,4,2,4,2,2,3,1,3,3,5,3,2,1,0,141,1,1,5,6,6,2,50,3,135,8,1,NA,NA,NA,NA,1,2,45,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,2,2,5,NA,4,2,NA,NA,NA,NA,NA,1,2,1,12
1990,37,3,3,2,1,3,2,3,1,3,3,1,1,2,3,2,105,1,2,3,1,1,4,10,3,400,8,2,NA,NA,NA,NA,NA,NA,15,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,2,5,NA,7,8,NA,NA,NA,NA,NA,3,2,1,12
